transaction_id,date,amount,category,description,income_level,monthly_income,age,existing_savings,debt_to_income,day_of_month,month,is_weekend,is_month_start,is_month_end,is_recurring,seasonal_multiplier,prev_month_expenses,prev_month_savings,expense_frequency,description_keywords
TXN_000020,2025-05-31,514.64,Education,education_transaction_20,High,11813.67,64,3645.88,0.1194,31,5,1,0,1,1,1.0,4815.99,6997.67,1,3
TXN_000021,2025-12-05,24.18,Food,food_transaction_21,Medium,5663.25,36,17003.83,0.2668,5,12,0,1,0,0,1.4,1835.32,3827.93,13,4
TXN_000022,2025-11-08,214.15,Shopping,shopping_transaction_22,Medium,5385.43,38,53389.32,0.1052,8,11,1,0,0,0,1.8,3025.37,2360.06,3,6
TXN_000023,2025-01-12,34.59,Others,others_transaction_23,Low,2371.99,45,383.89,0.0189,25,1,1,0,1,1,1.0,912.79,1459.2,3,3
TXN_000024,2025-04-29,21.74,Food,food_transaction_24,Medium,5576.77,30,731.88,0.0875,29,4,0,0,1,1,1.0,3156.46,2420.31,9,3
TXN_000025,2025-01-01,39.45,Transport,transport_transaction_25,Medium,4586.05,43,6324.02,0.2334,1,1,0,1,0,1,1.0,1670.35,2915.71,12,1
TXN_000026,2025-03-16,78.21,Healthcare,healthcare_transaction_26,Medium,4408.37,51,3774.47,0.24,2,3,1,1,0,0,1.0,1117.33,3291.04,1,3
TXN_000027,2025-08-23,39.76,Transport,transport_transaction_27,Medium,5805.9,21,2331.03,0.2052,23,8,1,0,0,1,1.2,2973.62,2832.27,19,2
TXN_000028,2025-11-22,35.56,Food,food_transaction_28,Medium,4949.03,64,9785.15,0.2336,22,11,1,0,0,1,1.4,3083.49,1865.53,11,3
TXN_000029,2026-01-03,48.98,Entertainment,entertainment_transaction_29,Medium,4415.12,42,11807.28,0.229,3,12,1,1,0,1,1.5,1067.65,3347.47,3,5
TXN_000030,2025-05-26,93.67,Healthcare,healthcare_transaction_30,Low,1824.88,43,3413.83,0.2295,26,5,0,0,1,0,1.0,1390.82,434.06,2,4
TXN_000031,2025-05-17,22.89,Food,food_transaction_31,Low,2078.05,21,22.09,0.1124,17,5,1,0,0,1,1.0,629.23,1448.82,9,3
TXN_000032,2025-11-20,31.0,Others,others_transaction_32,Medium,5006.48,53,3871.08,0.0173,26,11,0,0,1,0,1.1,1317.74,3688.73,8,5
TXN_000033,2025-09-27,28.32,Food,food_transaction_33,High,10169.73,29,9697.7,0.1296,27,9,1,0,1,1,1.0,4640.1,5529.63,9,2
TXN_000034,2025-03-19,32.2,Transport,transport_transaction_34,High,7961.88,55,12357.67,0.371,19,3,0,0,0,1,1.0,3075.49,4886.38,13,2
TXN_000035,2025-06-28,59.77,Transport,transport_transaction_35,Medium,5090.93,55,14213.41,0.1686,28,6,1,0,1,1,1.2,1325.77,3765.16,20,3
TXN_000036,2026-01-03,92.42,Entertainment,entertainment_transaction_36,Medium,5013.63,53,7846.02,0.1288,28,12,1,0,1,0,1.5,538.79,4474.84,5,4
TXN_000037,2025-07-29,158.2,Shopping,shopping_transaction_37,Medium,5240.5,25,11044.22,0.0552,29,7,0,0,1,1,1.1,2579.39,2661.12,2,6
TXN_000038,2025-05-29,101.99,Shopping,shopping_transaction_38,Low,2210.36,55,1879.59,0.2782,29,5,0,0,1,1,1.0,798.08,1412.28,3,8
TXN_000039,2025-06-26,47.47,Others,others_transaction_39,Medium,4981.48,37,5335.18,0.3079,26,6,0,0,1,1,1.0,2665.39,2316.09,6,5
TXN_000040,2025-01-19,58.42,Shopping,shopping_transaction_40,Medium,5623.04,21,2258.27,0.0596,19,1,1,0,0,0,1.0,2409.36,3213.68,5,6
TXN_000041,2025-11-24,297.54,Shopping,shopping_transaction_41,High,10013.0,63,35511.13,0.3159,26,11,0,0,1,1,1.8,1036.15,8976.85,5,6
TXN_000042,2025-07-14,42.51,Transport,transport_transaction_42,Medium,4123.27,39,12477.26,0.199,14,7,0,0,0,1,1.2,2792.3,1330.97,9,1
TXN_000043,2025-07-20,97.63,Entertainment,entertainment_transaction_43,Low,1674.08,34,1739.74,0.2663,20,7,1,0,0,0,1.4,884.44,789.64,6,3
TXN_000044,2025-06-22,131.28,Shopping,shopping_transaction_44,Medium,5073.6,46,5004.02,0.1207,22,6,1,0,0,0,1.1,2597.72,2475.89,5,6
TXN_000045,2025-12-03,461.27,Shopping,shopping_transaction_45,Medium,5350.15,57,6105.85,0.0677,25,12,0,0,1,0,1.8,3984.6,1365.55,4,4
TXN_000046,2025-11-26,44.23,Food,food_transaction_46,Medium,5572.07,33,21082.16,0.2172,3,11,0,1,0,1,1.4,3105.59,2466.48,13,4
TXN_000047,2025-11-11,52.63,Others,others_transaction_47,Medium,4297.42,62,688.23,0.0376,11,11,0,0,0,0,1.1,3237.39,1060.03,3,1
TXN_000048,2025-04-19,69.74,Others,others_transaction_48,Medium,4741.36,61,9364.49,0.0594,5,4,1,1,0,0,1.0,2295.96,2445.4,5,2
TXN_000049,2025-06-02,73.84,Transport,transport_transaction_49,Medium,4675.72,23,37741.66,0.1115,1,6,0,1,0,0,1.2,2210.74,2464.99,13,1
TXN_000050,2025-11-29,1342.47,Travel,travel_transaction_50,High,8750.82,26,45988.29,0.273,29,11,1,0,1,0,1.6,2906.04,5844.79,1,8
TXN_000051,2025-04-12,253.89,Shopping,shopping_transaction_51,High,10543.5,22,28021.0,0.0937,26,4,1,0,1,0,1.0,6217.87,4325.63,5,8
TXN_000052,2025-04-24,84.58,Others,others_transaction_52,Medium,5340.95,62,14141.97,0.2118,24,4,0,0,0,0,1.0,3136.82,2204.13,5,3
TXN_000053,2025-01-07,196.42,Education,education_transaction_53,Low,2241.3,48,5.02,0.2294,2,1,0,1,0,0,1.0,1242.61,998.69,2,6
TXN_000054,2025-12-31,21.86,Food,food_transaction_54,High,11208.98,47,31412.06,0.0764,31,12,0,0,1,1,1.4,6992.86,4216.12,10,3
TXN_000055,2025-07-29,23.17,Food,food_transaction_55,Low,2313.1,40,2731.38,0.1165,29,7,0,0,1,0,1.0,599.65,1713.45,10,4
TXN_000056,2025-12-03,30.87,Transport,transport_transaction_56,High,8153.23,55,4260.97,0.0286,3,12,0,1,0,1,0.8,3807.92,4345.3,11,3
TXN_000057,2025-06-30,301.81,Healthcare,healthcare_transaction_57,Low,2327.62,37,2619.3,0.2112,30,6,0,0,1,0,1.0,1522.04,805.58,1,3
TXN_000058,2025-12-04,310.34,Utilities,utilities_transaction_58,Medium,5469.92,58,3031.77,0.3028,5,12,0,1,0,1,1.0,2023.88,3446.05,2,2
TXN_000059,2025-07-13,84.16,Entertainment,entertainment_transaction_59,Low,2070.38,20,9380.86,0.1867,13,7,1,0,0,0,1.4,1126.54,943.84,4,6
TXN_000060,2025-11-10,189.81,Shopping,shopping_transaction_60,Medium,4674.29,62,8941.37,0.2261,4,11,0,1,0,0,1.8,2026.27,2648.03,4,8
TXN_000061,2025-12-27,37.47,Others,others_transaction_61,Medium,5241.14,47,33947.7,0.2337,27,12,1,0,1,1,1.1,1544.68,3696.46,2,4
TXN_000062,2025-12-20,35.68,Food,food_transaction_62,Low,2160.1,29,2092.1,0.2334,20,12,1,0,0,0,1.4,1634.94,525.16,6,4
TXN_000063,2025-02-10,41.22,Entertainment,entertainment_transaction_63,Medium,4818.78,45,2877.64,0.0302,10,2,0,0,0,0,1.0,2016.75,2802.03,3,7
TXN_000064,2025-12-20,19.26,Transport,transport_transaction_64,Medium,5702.27,64,12431.67,0.2288,20,12,1,0,0,1,0.8,2278.26,3424.02,9,1
TXN_000065,2025-01-20,152.61,Shopping,shopping_transaction_65,Medium,5458.16,48,3202.09,0.0141,25,1,0,0,1,1,1.0,2631.86,2826.31,4,8
TXN_000066,2025-01-05,69.75,Entertainment,entertainment_transaction_66,Medium,5091.89,29,1222.4,0.1715,5,1,1,1,0,0,1.0,679.95,4411.94,2,3
TXN_000067,2025-06-25,57.08,Entertainment,entertainment_transaction_67,Medium,5594.74,23,25919.7,0.0802,26,6,0,0,1,1,1.4,4062.2,1532.54,3,7
TXN_000068,2025-04-05,76.02,Entertainment,entertainment_transaction_68,Low,2253.84,26,2153.27,0.0939,27,4,1,0,1,0,1.0,1377.09,876.74,5,6
TXN_000069,2025-12-09,273.26,Shopping,shopping_transaction_69,Medium,5064.65,32,2224.32,0.0444,27,12,0,0,1,0,1.8,3191.0,1873.65,5,5
TXN_000070,2025-05-26,124.15,Shopping,shopping_transaction_70,Low,2369.33,59,970.7,0.0919,28,5,0,0,1,0,1.0,1834.73,534.6,3,8
TXN_000071,2025-01-26,33.73,Others,others_transaction_71,High,8756.14,54,6297.81,0.1614,26,1,1,0,1,0,1.0,3124.09,5632.05,2,3
TXN_000072,2025-06-14,22.93,Others,others_transaction_72,Medium,4721.25,42,41595.51,0.2074,14,6,1,0,0,1,1.0,2135.23,2586.02,4,4
TXN_000073,2025-02-11,154.38,Utilities,utilities_transaction_73,High,9418.32,23,8259.85,0.1744,5,2,0,1,0,1,1.0,6749.26,2669.06,2,2
TXN_000074,2025-09-16,37.55,Transport,transport_transaction_74,High,8048.88,39,13300.2,0.0501,16,9,0,0,0,1,1.0,5318.93,2729.95,11,3
TXN_000075,2025-08-25,40.43,Others,others_transaction_75,Low,1870.27,39,349.18,0.0818,25,8,0,0,1,1,1.0,936.0,934.27,4,1
TXN_000076,2025-11-27,352.4,Shopping,shopping_transaction_76,Low,2073.06,54,2056.51,0.0075,27,11,0,0,1,0,1.8,602.99,1470.07,4,7
TXN_000077,2025-06-12,1468.71,Travel,travel_transaction_77,High,9974.97,63,45592.62,0.0672,12,6,0,0,0,0,1.5,3346.92,6628.05,1,8
TXN_000078,2025-01-12,18.25,Food,food_transaction_78,Medium,5141.65,46,183.52,0.0189,12,1,1,0,0,1,1.0,2665.62,2476.03,12,4
TXN_000079,2025-03-29,36.48,Others,others_transaction_79,Low,2032.11,34,1076.23,0.1085,28,3,1,0,1,0,1.0,1005.44,1026.67,4,3
TXN_000080,2025-01-18,41.65,Entertainment,entertainment_transaction_80,Low,2172.62,56,4192.37,0.2322,25,1,1,0,1,0,1.0,924.65,1247.97,6,4
TXN_000081,2025-02-03,27.23,Food,food_transaction_81,Medium,5142.44,58,1108.21,0.1587,3,2,0,1,0,1,1.0,2833.95,2308.49,15,4
TXN_000082,2025-08-02,326.39,Healthcare,healthcare_transaction_82,Low,2017.73,54,197.79,0.1842,5,8,1,1,0,0,1.0,242.88,1774.85,3,4
TXN_000083,2025-01-28,153.77,Healthcare,healthcare_transaction_83,Low,1840.41,45,8435.15,0.0637,28,1,0,0,1,0,1.0,892.06,948.34,3,3
TXN_000084,2025-06-13,83.46,Transport,transport_transaction_84,Medium,5269.15,28,471.28,0.2002,13,6,0,0,0,0,1.2,523.35,4745.8,11,1
TXN_000085,2025-06-23,365.07,Utilities,utilities_transaction_85,Low,2425.79,38,18605.49,0.0977,1,6,0,1,0,1,1.3,1661.45,764.33,1,2
TXN_000086,2025-08-01,54.11,Food,food_transaction_86,High,10308.83,50,14638.74,0.2909,1,8,0,1,0,0,1.0,5492.89,4815.94,12,2
TXN_000087,2025-01-03,157.11,Utilities,utilities_transaction_87,Medium,5549.95,63,10623.44,0.1452,2,1,0,1,0,1,1.0,2686.26,2863.69,2,1
TXN_000088,2025-05-12,64.76,Others,others_transaction_88,Medium,4237.17,62,827.12,0.0383,26,5,0,0,1,0,1.0,1727.82,2509.35,3,6
TXN_000089,2025-06-08,1232.94,Travel,travel_transaction_89,Medium,5348.19,48,18651.46,0.0099,28,6,1,0,1,0,1.5,3355.99,1992.2,1,7
TXN_000090,2025-04-28,127.07,Utilities,utilities_transaction_90,Medium,5151.89,27,4196.05,0.0705,3,4,0,1,0,1,1.0,3166.69,1985.2,1,1
TXN_000091,2025-09-18,56.04,Entertainment,entertainment_transaction_91,Medium,4767.84,48,24402.44,0.1089,18,9,0,0,0,1,1.0,3151.95,1615.89,3,3
TXN_000092,2025-02-13,246.06,Education,education_transaction_92,Medium,5535.56,23,25473.77,0.115,13,2,0,0,0,1,1.0,1947.89,3587.67,2,3
TXN_000093,2025-08-09,152.56,Healthcare,healthcare_transaction_93,Low,1835.38,39,3023.83,0.0612,9,8,1,0,0,0,1.0,1036.26,799.12,2,3
TXN_000094,2025-12-07,540.81,Shopping,shopping_transaction_94,Medium,5309.58,41,16420.64,0.1476,28,12,1,0,1,0,1.8,970.74,4338.84,5,7
TXN_000095,2025-08-20,272.28,Shopping,shopping_transaction_95,Medium,5183.62,19,699.04,0.2034,25,8,0,0,1,0,1.1,3255.29,1928.32,4,8
TXN_000096,2025-09-25,66.32,Others,others_transaction_96,Medium,4776.34,63,7274.25,0.2182,25,9,0,0,1,1,1.0,2456.45,2319.89,5,3
TXN_000097,2025-09-03,48.46,Transport,transport_transaction_97,High,8942.28,47,18009.0,0.0591,3,9,0,1,0,1,1.0,5544.48,3397.81,12,3
TXN_000098,2025-09-22,42.09,Food,food_transaction_98,Medium,4917.3,38,2886.08,0.1365,22,9,0,0,0,1,1.0,1073.03,3844.27,6,3
TXN_000099,2025-10-06,177.11,Shopping,shopping_transaction_99,High,9096.3,33,2045.47,0.056,6,10,0,0,0,0,1.0,5678.32,3417.98,2,6
TXN_000100,2025-10-29,432.14,Education,education_transaction_100,Medium,4393.96,50,18219.75,0.0691,1,10,0,1,0,0,1.0,2720.61,1673.35,1,3
TXN_000101,2025-09-27,98.69,Entertainment,entertainment_transaction_101,High,10843.41,62,71387.08,0.0446,27,9,1,0,1,0,1.0,3319.4,7524.01,2,6
TXN_000102,2025-07-26,122.33,Transport,transport_transaction_102,High,10950.31,58,98825.24,0.0897,28,7,1,0,1,1,1.2,3666.06,7284.25,12,1
TXN_000103,2025-12-23,36.69,Transport,transport_transaction_103,Low,1896.42,29,2368.36,0.1439,5,12,0,1,0,1,0.8,746.04,1150.37,14,3
TXN_000104,2025-09-20,26.63,Food,food_transaction_104,Medium,6145.44,23,27295.85,0.1822,20,9,1,0,0,1,1.0,4626.28,1519.16,8,5
TXN_000105,2025-07-12,66.94,Shopping,shopping_transaction_105,Low,1523.13,59,1058.32,0.0948,4,7,1,1,0,1,1.1,880.69,642.44,2,6
TXN_000106,2025-11-29,52.25,Food,food_transaction_106,High,8818.06,50,30617.72,0.1748,29,11,1,0,1,1,1.4,6492.04,2326.01,12,5
TXN_000107,2025-11-29,44.27,Others,others_transaction_107,Medium,4950.71,35,1480.37,0.2307,29,11,1,0,1,0,1.1,2134.61,2816.09,8,5
TXN_000108,2025-12-23,234.61,Entertainment,entertainment_transaction_108,High,9353.77,52,1511.42,0.2092,23,12,0,0,0,0,1.5,6788.5,2565.27,4,4
TXN_000109,2025-04-28,77.37,Entertainment,entertainment_transaction_109,Low,1938.39,37,1609.51,0.0092,28,4,0,0,1,0,1.0,714.43,1223.97,3,6
TXN_000110,2025-11-22,125.41,Shopping,shopping_transaction_110,Medium,4116.35,23,11620.15,0.0303,22,11,1,0,0,0,1.8,1843.11,2273.24,5,4
TXN_000111,2025-03-18,23.87,Others,others_transaction_111,High,12632.92,62,36258.32,0.0756,4,3,0,1,0,1,1.0,5892.09,6740.84,4,1
TXN_000112,2025-10-07,233.61,Shopping,shopping_transaction_112,High,10291.86,41,19952.29,0.1614,25,10,0,0,1,1,1.0,2501.07,7790.79,4,8
TXN_000113,2025-09-03,56.97,Entertainment,entertainment_transaction_113,Low,1818.13,49,2462.25,0.2452,26,9,0,0,1,1,1.0,1353.72,464.41,2,5
TXN_000114,2025-08-07,43.08,Others,others_transaction_114,High,9802.66,62,11337.79,0.178,7,8,0,0,0,0,1.0,5559.03,4243.63,5,2
TXN_000115,2025-02-04,67.88,Transport,transport_transaction_115,Low,2081.41,32,641.67,0.0306,3,2,0,1,0,0,1.0,1425.01,656.4,11,2
TXN_000116,2025-03-16,23.96,Food,food_transaction_116,Low,2042.36,33,4676.66,0.205,16,3,1,0,0,1,1.0,879.93,1162.44,6,4
TXN_000117,2025-08-03,120.38,Entertainment,entertainment_transaction_117,Medium,5617.86,30,10393.73,0.0733,3,8,1,1,0,0,1.4,1516.45,4101.41,5,6
TXN_000118,2025-01-14,157.31,Utilities,utilities_transaction_118,Low,1741.93,48,1165.2,0.2305,4,1,0,1,0,1,1.0,887.48,854.45,2,2
TXN_000119,2025-12-09,169.07,Utilities,utilities_transaction_119,Medium,4995.35,18,1390.52,0.1014,4,12,0,1,0,1,1.0,3582.26,1413.09,1,2
TXN_000120,2025-11-12,36.03,Food,food_transaction_120,Medium,5095.75,61,1414.61,0.1541,5,11,0,1,0,1,1.4,3225.77,1869.98,7,4
TXN_000121,2025-09-13,40.07,Food,food_transaction_121,Low,1567.06,19,746.7,0.051,1,9,1,1,0,1,1.0,618.62,948.44,11,5
TXN_000122,2025-01-28,131.22,Utilities,utilities_transaction_122,High,9121.52,27,14317.8,0.189,1,1,0,1,0,1,1.0,3997.22,5124.3,1,1
TXN_000123,2025-09-25,69.28,Transport,transport_transaction_123,Medium,4409.59,45,2742.36,0.1128,25,9,0,0,1,1,1.0,2537.03,1872.56,14,1
TXN_000124,2025-02-24,48.01,Transport,transport_transaction_124,Medium,5513.84,26,8731.52,0.1117,27,2,0,0,1,1,1.0,2788.33,2725.51,19,3
TXN_000125,2025-01-04,170.63,Utilities,utilities_transaction_125,Medium,4369.92,61,8450.42,0.0838,4,1,1,1,0,1,1.0,2345.86,2024.05,2,2
TXN_000126,2025-06-08,102.9,Shopping,shopping_transaction_126,Medium,4155.47,51,2301.56,0.2784,5,6,1,1,0,1,1.1,1214.13,2941.34,3,6
TXN_000127,2025-04-03,16.34,Food,food_transaction_127,Medium,5808.29,58,2547.61,0.0278,3,4,0,1,0,1,1.0,3526.03,2282.26,7,2
TXN_000128,2025-12-20,54.7,Others,others_transaction_128,Medium,5203.83,53,2957.25,0.1762,20,12,1,0,0,1,1.1,1522.61,3681.22,6,4
TXN_000129,2025-09-12,28.15,Others,others_transaction_129,Medium,4923.09,46,6455.54,0.0666,12,9,0,0,0,1,1.0,2962.95,1960.13,2,3
TXN_000130,2025-01-17,35.13,Transport,transport_transaction_130,Medium,4644.96,62,34039.0,0.0568,17,1,0,0,0,1,1.0,1163.72,3481.24,15,3
TXN_000131,2025-03-17,112.97,Entertainment,entertainment_transaction_131,High,9810.88,21,33994.98,0.1015,17,3,0,0,0,0,1.0,7268.16,2542.72,4,6
TXN_000132,2025-07-14,91.28,Transport,transport_transaction_132,Medium,5031.59,40,467.6,0.1689,14,7,0,0,0,1,1.2,3001.13,2030.45,16,2
TXN_000133,2025-04-13,29.22,Transport,transport_transaction_133,Low,2221.4,53,6017.3,0.0763,27,4,1,0,1,1,1.0,1122.26,1099.14,18,3
TXN_000134,2025-02-08,544.63,Travel,travel_transaction_134,Low,2360.43,51,7161.57,0.1696,28,2,1,0,1,0,1.0,415.8,1944.63,2,5
TXN_000135,2025-08-05,175.47,Shopping,shopping_transaction_135,Medium,5115.04,56,19439.89,0.1192,27,8,0,0,1,0,1.1,3539.23,1575.81,2,7
TXN_000136,2025-04-19,390.38,Utilities,utilities_transaction_136,Medium,4643.75,36,14154.59,0.1677,4,4,1,1,0,1,1.0,2945.22,1698.53,1,1
TXN_000137,2025-07-12,159.64,Shopping,shopping_transaction_137,High,10420.55,42,3566.17,0.0882,3,7,1,1,0,0,1.1,3143.5,7277.04,5,6
TXN_000138,2025-11-24,116.55,Healthcare,healthcare_transaction_138,Medium,5608.87,31,10434.17,0.1349,24,11,0,0,0,0,0.9,2221.44,3387.43,1,2
TXN_000139,2025-03-20,287.34,Education,education_transaction_139,Medium,4986.36,27,1971.37,0.2821,20,3,0,0,0,0,1.0,3188.09,1798.26,1,5
TXN_000140,2025-05-04,44.96,Transport,transport_transaction_140,Low,1983.32,37,3625.14,0.1799,3,5,1,1,0,1,1.0,959.37,1023.95,11,3
TXN_000141,2025-03-08,188.43,Shopping,shopping_transaction_141,Low,2119.55,47,4831.65,0.1164,8,3,1,0,0,0,1.0,1187.87,931.68,3,4
TXN_000142,2025-10-11,93.1,Shopping,shopping_transaction_142,Low,2335.49,43,26107.45,0.2466,11,10,1,0,0,0,1.0,1612.96,722.53,5,4
TXN_000143,2025-03-10,73.39,Transport,transport_transaction_143,Medium,4140.62,27,17908.31,0.282,10,3,0,0,0,1,1.0,1648.41,2492.21,20,2
TXN_000144,2025-10-25,183.52,Education,education_transaction_144,Medium,4623.58,55,5159.17,0.1577,25,10,1,0,1,0,1.0,2687.17,1936.4,4,4
TXN_000145,2025-03-02,75.3,Shopping,shopping_transaction_145,Medium,4113.25,55,976.07,0.1518,27,3,1,0,1,1,1.0,2461.06,1652.19,2,8
TXN_000146,2025-02-21,228.76,Utilities,utilities_transaction_146,Medium,5389.88,56,2842.45,0.0169,5,2,0,1,0,1,1.0,3393.04,1996.84,2,1
TXN_000147,2025-10-12,47.66,Food,food_transaction_147,Medium,5401.46,38,13703.23,0.1578,12,10,1,0,0,1,1.0,3250.55,2150.91,8,3
TXN_000148,2025-02-01,230.73,Shopping,shopping_transaction_148,High,8741.5,64,24508.97,0.3324,26,1,1,0,1,1,1.0,5095.58,3645.92,2,8
TXN_000149,2025-09-02,244.33,Utilities,utilities_transaction_149,Medium,4020.78,20,1837.93,0.1125,2,9,0,1,0,1,1.0,796.49,3224.29,2,2
TXN_000150,2025-01-25,42.85,Transport,transport_transaction_150,High,8888.03,58,13481.09,0.1269,25,1,1,0,1,1,1.0,3577.0,5311.03,9,2
TXN_000151,2025-08-27,103.17,Shopping,shopping_transaction_151,Medium,4463.23,31,4160.31,0.154,26,8,0,0,1,1,1.1,510.37,3952.86,5,7
TXN_000152,2025-07-26,42.26,Food,food_transaction_152,Medium,4431.16,34,130.6,0.0793,26,7,1,0,1,1,1.0,3214.73,1216.43,7,2
TXN_000153,2025-10-19,129.75,Healthcare,healthcare_transaction_153,Medium,4824.09,57,3633.75,0.2665,19,10,1,0,0,0,1.0,2176.02,2648.06,2,3
TXN_000154,2025-03-03,240.22,Education,education_transaction_154,Medium,5759.64,63,2843.14,0.0644,3,3,0,1,0,1,1.0,2528.47,3231.18,1,6
TXN_000155,2025-02-01,118.75,Entertainment,entertainment_transaction_155,High,10582.03,23,11859.06,0.0931,1,1,1,1,0,0,1.0,4980.34,5601.69,6,5
TXN_000156,2025-10-26,34.92,Others,others_transaction_156,Low,1923.46,52,87.25,0.0841,27,10,1,0,1,0,1.0,1059.12,864.35,8,3
TXN_000157,2025-01-03,24.2,Food,food_transaction_157,High,11328.93,27,3376.14,0.1929,3,1,0,1,0,0,1.0,3632.53,7696.4,9,5
TXN_000158,2025-09-03,246.88,Shopping,shopping_transaction_158,High,11351.14,40,58819.23,0.0997,27,9,0,0,1,0,1.0,2651.68,8699.46,2,7
TXN_000159,2025-08-30,22.04,Food,food_transaction_159,Low,2070.99,57,6724.9,0.0755,28,8,1,0,1,0,1.0,1612.66,458.33,14,4
TXN_000160,2025-10-26,182.07,Shopping,shopping_transaction_160,Medium,5269.4,60,2500.68,0.0634,28,10,1,0,1,1,1.0,2504.88,2764.52,4,8
TXN_000161,2025-10-04,44.4,Food,food_transaction_161,Medium,5037.39,24,2384.97,0.2618,4,10,1,1,0,1,1.0,3575.15,1462.24,12,2
TXN_000162,2025-03-01,70.14,Transport,transport_transaction_162,High,9537.18,22,12418.15,0.3112,1,3,1,1,0,1,1.0,3460.37,6076.81,17,1
TXN_000163,2025-06-30,348.98,Utilities,utilities_transaction_163,Medium,5517.92,32,507.69,0.0999,30,6,0,0,1,1,1.3,1603.87,3914.05,2,1
TXN_000164,2025-09-06,159.07,Healthcare,healthcare_transaction_164,Medium,4878.31,34,16615.12,0.2554,6,9,1,0,0,0,1.0,2663.96,2214.35,3,3
TXN_000165,2025-05-03,25.72,Food,food_transaction_165,Low,1779.03,31,1036.89,0.2797,3,4,1,1,0,1,1.0,1286.57,492.46,8,2
TXN_000166,2025-04-26,118.94,Healthcare,healthcare_transaction_166,Low,1800.05,44,147.18,0.0887,26,4,1,0,1,0,1.0,1057.85,742.2,2,3
TXN_000167,2025-10-13,24.26,Entertainment,entertainment_transaction_167,Low,2028.25,32,9795.23,0.0555,13,10,0,0,0,0,1.0,148.22,1880.03,4,5
TXN_000168,2025-09-27,47.3,Entertainment,entertainment_transaction_168,Low,2244.25,28,3772.16,0.0431,27,9,1,0,1,0,1.0,1069.33,1174.92,2,3
